r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
0.555	0.445	0.34
0.931	0.562	0.429
0.931	0.562	0.429
0.803	0.583	0.638
0.803	0.583	0.638
0.413	0.521	0.368
0.413	0.521	0.368
0.872	0.773	0.48
0.872	0.773	0.48
0.499	0.353	0.341
0.499	0.353	0.341
0.837	0.858	0.598
0.837	0.858	0.598
0.484	0.447	0.501
0.484	0.447	0.501
0.604	0.764	0.257
0.604	0.764	0.257
0.702	0.728	0.65
0.702	0.728	0.65
0.823	0.286	0.335
0.823	0.286	0.335
0.487	0.637	0.629
0.487	0.637	0.629
0.717	0.606	0.544
0.717	0.606	0.544
0.917	0.811	0.59
0.917	0.811	0.59
0.879	0.816	0.444
0.879	0.816	0.444
0.747	0.586	0.322
0.747	0.586	0.322
0.806	0.42	0.255
0.806	0.42	0.255
0.839	0.713	0.411
0.839	0.713	0.411
0.928	0.633	0.432
0.928	0.633	0.432
0.71	0.367	0.542
0.71	0.367	0.542
0.549	0.65	0.556
0.549	0.65	0.556
0.389	0.47	0.721
0.389	0.47	0.721
0.854	0.446	0.512
0.854	0.446	0.512
0.538	0.526	0.683
0.538	0.526	0.683
0.897	0.646	0.798
0.897	0.646	0.798
0.749	0.565	0.552
0.749	0.565	0.552
0.555	0.705	0.424
0.555	0.705	0.424
0.405	0.784	0.555
0.405	0.784	0.555
0.735	0.67	0.69
0.735	0.67	0.69
0.665	0.639	0.54
0.665	0.639	0.54
0.82	0.806	0.638
0.82	0.806	0.638
0.409	0.578	0.664
0.409	0.578	0.664
0.539	0.774	0.483
0.539	0.774	0.483
0.838	0.771	0.388
0.838	0.771	0.388
0.571	0.697	0.354
0.571	0.697	0.354
0.571	0.697	0.354
0.853	0.559	0.507
0.853	0.559	0.507
0.808	0.411	0.62
0.808	0.411	0.62
0.635	0.665	0.516
0.635	0.665	0.516
0.647	0.432	0.536
0.647	0.432	0.536
0.619	0.635	0.441
0.619	0.635	0.441
0.765	0.462	0.248
0.765	0.462	0.248
0.513	0.446	0.64
0.513	0.446	0.64
0.779	0.748	0.412
0.779	0.748	0.412
0.502	0.676	0.376
0.502	0.676	0.376
0.632	0.687	0.648
0.632	0.687	0.648
0.567	0.79	0.454
0.567	0.79	0.454
0.674	0.685	0.562
0.674	0.685	0.562
0.578	0.812	0.453
0.578	0.812	0.453
0.915	0.431	0.535
0.915	0.431	0.535
0.497	0.649	0.76
0.497	0.649	0.76
0.775	0.702	0.485
0.775	0.702	0.485
0.556	0.45	0.371
0.556	0.45	0.371
0.504	0.81	0.714
0.504	0.81	0.714
0.609	0.571	0.417
0.609	0.571	0.417
0.557	0.621	0.542
0.557	0.621	0.542
0.592	0.533	0.643
0.592	0.533	0.643
0.517	0.714	0.659
0.517	0.714	0.659
0.669	0.556	0.411
0.669	0.556	0.411
0.709	0.552	0.792
0.709	0.552	0.792
0.878	0.485	0.371
0.878	0.485	0.371
0.779	0.696	0.709
0.779	0.696	0.709
0.856	0.699	0.445
0.856	0.699	0.445
0.636	0.714	0.329
0.636	0.714	0.329
0.554	0.488	0.555
0.554	0.488	0.555
0.958	0.391	0.508
0.958	0.391	0.508
0.205	0.687	0.707
0.205	0.687	0.707
0.819	0.675	0.854
0.819	0.675	0.854
0.781	0.674	0.392
0.781	0.674	0.392
0.556	0.355	0.388
0.556	0.355	0.388
0.71	0.804	0.756
0.71	0.804	0.756
0.415	0.828	0.434
0.415	0.828	0.434
0.823	0.424	0.482
0.823	0.424	0.482
0.916	0.652	0.486
0.916	0.652	0.486
0.283	0.422	0.622
0.283	0.422	0.622
0.376	0.456	0.772
0.376	0.456	0.772
0.457	0.618	0.346
0.457	0.618	0.346
0.871	0.609	0.607
0.871	0.609	0.607
0.526	0.566	0.74
0.526	0.566	0.74
0.794	0.339	0.855
0.794	0.339	0.855
0.548	0.82	0.466
0.548	0.82	0.466
0.495	0.676	0.657
0.495	0.676	0.657
0.633	0.533	0.55
0.633	0.533	0.55
0.691	0.594	0.496
0.691	0.594	0.496
0.514	0.686	0.366
0.514	0.686	0.366
0.762	0.506	0.744
0.762	0.506	0.744
0.747	0.62	0.748
0.747	0.62	0.748
0.68	0.319	0.385
0.68	0.319	0.385
0.605	0.305	0.417
0.605	0.305	0.417
0.602	0.663	0.589
0.602	0.663	0.589
0.498	0.731	0.458
0.498	0.731	0.458
0.756	0.743	0.236
0.756	0.743	0.236
0.782	0.488	0.826
0.782	0.488	0.826
0.467	0.484	0.333
0.467	0.484	0.333
0.436	0.791	0.383
0.436	0.791	0.383
0.909	0.463	0.791
0.909	0.463	0.791
0.682	0.538	0.504
0.682	0.538	0.504
0.371	0.568	0.481
0.371	0.568	0.481
0.652	0.608	0.559
0.652	0.608	0.559
0.674	0.571	0.567
0.674	0.571	0.567
0.76	0.701	0.713
0.76	0.701	0.713
0.461	0.616	0.595
0.461	0.616	0.595
0.819	0.463	0.54
0.819	0.463	0.54
0.703	0.418	0.588
0.703	0.418	0.588
0.661	0.643	0.546
0.661	0.643	0.546
0.626	0.568	0.601
0.626	0.568	0.601
0.534	0.861	0.414
0.534	0.861	0.414
0.563	0.605	0.834
0.563	0.605	0.834
0.56	0.336	0.531
0.56	0.336	0.531
0.59	0.642	0.35
0.59	0.642	0.35
0.878	0.576	0.6
0.878	0.576	0.6
0.471	0.806	0.705
0.471	0.806	0.705
0.602	0.497	0.868
0.602	0.497	0.868
0.74	0.681	0.508
0.74	0.681	0.508
0.589	0.627	0.647
0.589	0.627	0.647
0.57	0.482	0.47
0.57	0.482	0.47
0.533	0.525	0.419
0.533	0.525	0.419
0.323	0.402	0.449
0.323	0.402	0.449
0.632	0.541	0.4
0.632	0.541	0.4
0.498	0.544	0.749
0.498	0.544	0.749
0.539	0.942	0.768
0.539	0.942	0.768
0.521	0.677	0.57
0.521	0.677	0.57
0.475	0.256	0.546
0.475	0.256	0.546
0.797	0.69	0.448
0.797	0.69	0.448
0.731	0.771	0.431
0.731	0.771	0.431
0.698	0.803	0.635
0.698	0.803	0.635
0.619	0.563	0.387
0.619	0.563	0.387
0.507	0.228	0.694
0.507	0.228	0.694
0.867	0.641	0.341
0.867	0.641	0.341
0.358	0.956	0.406
0.358	0.956	0.406
0.586	0.411	0.368
0.586	0.411	0.368
0.644	0.719	0.335
0.644	0.719	0.335
0.787	0.413	0.612
0.787	0.413	0.612
0.744	0.638	0.805
0.744	0.638	0.805
0.461	0.351	0.749
0.461	0.351	0.749
0.518	0.526	0.615
0.518	0.526	0.615
0.373	0.452	0.613
0.373	0.452	0.613
0.679	0.709	0.514
0.679	0.709	0.514
0.716	0.609	0.586
0.716	0.609	0.586
0.732	0.705	0.697
0.732	0.705	0.697
0.619	0.558	0.428
0.619	0.558	0.428
0.589	0.426	0.442
0.589	0.426	0.442
0.723	0.651	0.568
0.723	0.651	0.568
0.758	0.532	0.185
0.758	0.532	0.185
0.899	0.516	0.283
0.899	0.516	0.283
0.799	0.626	0.685
0.799	0.626	0.685
0.59	0.268	0.701
0.59	0.268	0.701
0.647	0.56	0.594
0.647	0.56	0.594
0.439	0.732	0.551
0.439	0.732	0.551
0.721	0.502	0.43
0.721	0.502	0.43
0.414	0.661	0.519
0.414	0.661	0.519
0.675	0.691	0.286
0.675	0.691	0.286
0.611	0.317	0.642
0.611	0.317	0.642
0.678	0.71	0.54
0.678	0.71	0.54
0.668	0.65	0.573
0.668	0.65	0.573
0.529	0.309	0.317
0.529	0.309	0.317
0.656	0.463	0.588
0.656	0.463	0.588
0.785	0.431	0.325
0.785	0.431	0.325
0.688	0.641	0.528
0.688	0.641	0.528
0.648	0.548	0.522
0.648	0.548	0.522
0.439	0.327	0.6
0.439	0.327	0.6
0.381	0.829	0.463
0.381	0.829	0.463
0.688	0.663	0.628
0.688	0.663	0.628
0.927	0.692	0.239
0.927	0.692	0.239
0.551	0.667	0.486
0.551	0.667	0.486
0.797	0.565	0.484
0.797	0.565	0.484
0.393	0.515	0.416
0.393	0.515	0.416
0.924	0.702	0.731
0.924	0.702	0.731
0.694	0.381	0.314
0.694	0.381	0.314
0.586	0.556	0.65
0.586	0.556	0.65
0.564	0.532	0.469
0.564	0.532	0.469
0.518	0.532	0.443
0.518	0.532	0.443
0.674	0.743	0.417
0.674	0.743	0.417
0.659	0.358	0.407
0.659	0.358	0.407
0.415	0.444	0.405
0.415	0.444	0.405
0.623	0.546	0.456
0.623	0.546	0.456
0.75	0.774	0.627
0.75	0.774	0.627
0.704	0.683	0.498
0.704	0.683	0.498
0.682	0.754	0.812
0.682	0.754	0.812
0.568	0.793	0.328
0.568	0.793	0.328
0.402	0.608	0.666
0.402	0.608	0.666
0.782	0.412	0.63
0.782	0.412	0.63
0.524	0.535	0.594
0.524	0.535	0.594
0.672	0.577	0.326
0.672	0.577	0.326
0.784	0.654	0.273
0.784	0.654	0.273
0.553	0.454	0.407
0.553	0.454	0.407
0.691	0.507	0.584
0.691	0.507	0.584
0.591	0.775	0.48
0.591	0.775	0.48
0.543	0.325	0.463
0.543	0.325	0.463
0.814	0.65	0.481
0.814	0.65	0.481
0.742	0.461	0.477
0.742	0.461	0.477
0.663	0.457	0.708
0.663	0.457	0.708
0.508	0.594	0.754
0.508	0.594	0.754
0.819	0.631	0.63
0.819	0.631	0.63
0.671	0.59	0.475
0.671	0.59	0.475
0.742	0.677	0.718
0.742	0.677	0.718
0.599	0.719	0.283
0.599	0.719	0.283
0.531	0.484	0.517
0.531	0.484	0.517
0.664	0.44	0.812
0.664	0.44	0.812
0.678	0.682	0.509
0.678	0.682	0.509
0.592	0.834	0.471
0.592	0.834	0.471
0.356	0.221	0.476
0.356	0.221	0.476
0.683	0.549	0.326
0.683	0.549	0.326
0.482	0.816	0.593
0.482	0.816	0.593
0.372	0.613	0.623
0.372	0.613	0.623
0.632	0.765	0.45
0.632	0.765	0.45
0.472	0.812	0.479
0.472	0.812	0.479
0.681	0.352	0.477
0.681	0.352	0.477
0.554	0.695	0.664
0.554	0.695	0.664
0.693	0.391	0.762
0.693	0.391	0.762
0.931	0.722	0.752
0.931	0.722	0.752
0.467	0.524	0.649
0.467	0.524	0.649
0.769	0.751	0.597
0.769	0.751	0.597
0.35	0.632	0.574
0.35	0.632	0.574
0.553	0.528	0.539
0.553	0.528	0.539
0.519	0.552	0.652
0.519	0.552	0.652
0.425	0.712	0.538
0.425	0.712	0.538
0.64	0.538	0.667
0.64	0.538	0.667
0.66	0.311	0.729
0.66	0.311	0.729
0.722	0.641	0.42
0.722	0.641	0.42
0.757	0.644	0.483
0.757	0.644	0.483
0.54	0.53	0.407
0.54	0.53	0.407
0.646	0.42	0.392
0.646	0.42	0.392
0.458	0.724	0.663
0.458	0.724	0.663
0.599	0.545	0.433
0.599	0.545	0.433
0.445	0.743	0.291
0.445	0.743	0.291
0.506	0.292	0.726
0.506	0.292	0.726
0.922	0.627	0.718
0.922	0.627	0.718
0.837	0.499	0.833
0.837	0.499	0.833
0.106	0.381	0.445
0.106	0.381	0.445
0.721	0.605	0.468
0.721	0.605	0.468
0.606	0.665	0.656
0.606	0.665	0.656
0.688	0.686	0.535
0.688	0.686	0.535
0.641	0.635	0.553
0.641	0.635	0.553
0.693	0.715	0.305
0.693	0.715	0.305
0.541	0.314	0.527
0.541	0.314	0.527
0.736	0.534	0.502
0.736	0.534	0.502
0.449	0.776	0.7
0.449	0.776	0.7
0.747	0.41	0.676
0.747	0.41	0.676
0.881	0.601	0.567
0.881	0.601	0.567
0.663	0.377	0.647
0.663	0.377	0.647
0.856	0.255	0.688
0.856	0.255	0.688
0.889	0.513	0.709
0.889	0.513	0.709
0.524	0.537	0.515
0.524	0.537	0.515
0.301	0.598	0.393
0.301	0.598	0.393
0.828	0.667	0.37
0.828	0.667	0.37
0.692	0.484	0.378
0.692	0.484	0.378
0.546	0.414	0.707
0.546	0.414	0.707
0.303	0.414	0.298
0.303	0.414	0.298
0.812	0.669	0.592
0.812	0.669	0.592
0.639	0.818	0.609
0.639	0.818	0.609
0.357	0.528	0.264
0.357	0.528	0.264
0.599	0.399	0.473
0.599	0.399	0.473
0.567	0.648	0.457
0.567	0.648	0.457
0.555	0.78	0.684
0.555	0.78	0.684
0.751	0.437	0.509
0.751	0.437	0.509
0.778	0.534	0.5
0.778	0.534	0.5
0.661	0.403	0.632
0.661	0.403	0.632
0.771	0.689	0.44
0.771	0.689	0.44
0.766	0.649	0.607
0.766	0.649	0.607
0.481	0.677	0.453
0.481	0.677	0.453
0.674	0.499	0.666
0.674	0.499	0.666
0.663	0.625	0.669
0.663	0.625	0.669
0.666	0.682	0.543
0.666	0.682	0.543
0.641	0.669	0.407
0.641	0.669	0.407
0.424	0.302	0.563
0.424	0.302	0.563
0.714	0.547	0.55
0.714	0.547	0.55
0.656	0.629	0.461
0.656	0.629	0.461
0.637	0.609	0.545
0.637	0.609	0.545
0.288	0.776	0.597
0.288	0.776	0.597
0.217	0.528	0.553
0.217	0.528	0.553
0.534	0.377	0.605
0.534	0.377	0.605
0.523	0.401	0.572
0.523	0.401	0.572
0.555	0.802	0.55
0.555	0.802	0.55
0.732	0.396	0.688
0.732	0.396	0.688
0.407	0.653	0.455
0.407	0.653	0.455
0.563	0.429	0.619
0.563	0.429	0.619
0.564	0.75	0.301
0.564	0.75	0.301
0.236	0.75	0.648
0.236	0.75	0.648
0.711	0.426	0.592
0.711	0.426	0.592
0.469	0.543	0.279
0.469	0.543	0.279
0.497	0.595	0.5
0.497	0.595	0.5
0.528	0.39	0.45
0.528	0.39	0.45
0.725	0.72	0.59
0.725	0.72	0.59
0.583	0.427	0.467
0.583	0.427	0.467
0.526	0.642	0.352
0.526	0.642	0.352
0.652	0.683	0.546
0.652	0.683	0.546
0.512	0.414	0.547
0.512	0.414	0.547
0.622	0.553	0.458
0.622	0.553	0.458
0.834	0.752	0.523
0.834	0.752	0.523
0.573	0.63	0.309
0.573	0.63	0.309
0.571	0.803	0.469
0.571	0.803	0.469
0.714	0.551	0.528
0.714	0.551	0.528
0.43	0.747	0.614
0.43	0.747	0.614
0.456	0.756	0.447
0.456	0.756	0.447
0.488	0.49	0.441
0.488	0.49	0.441
0.556	0.589	0.349
0.556	0.589	0.349
0.436	0.488	0.676
0.436	0.488	0.676
0.738	0.623	0.448
0.738	0.623	0.448
0.952	0.546	0.525
0.952	0.546	0.525
0.376	0.912	0.592
0.376	0.912	0.592
0.619	0.466	0.663
0.619	0.466	0.663
0.622	0.641	0.69
0.622	0.641	0.69
0.504	0.571	0.403
0.504	0.571	0.403
0.964	0.753	0.573
0.964	0.753	0.573
0.68	0.237	0.55
0.68	0.237	0.55
0.268	0.657	0.364
0.268	0.657	0.364
0.521	0.582	0.76
0.521	0.582	0.76
0.571	0.245	0.575
0.571	0.245	0.575
0.54	0.505	0.277
0.54	0.505	0.277
0.49	0.491	0.639
0.49	0.491	0.639
0.465	0.714	0.591
0.465	0.714	0.591
0.748	0.661	0.446
0.748	0.661	0.446
0.341	0.53	0.693
0.341	0.53	0.693
0.637	0.368	0.71
0.637	0.368	0.71
0.72	0.309	0.628
0.72	0.309	0.628
0.802	0.552	0.349
0.802	0.552	0.349
0.477	0.586	0.379
0.477	0.586	0.379
0.5	0.491	0.566
0.5	0.491	0.566
0.426	0.666	0.206
0.426	0.666	0.206
0.883	0.633	0.417
0.883	0.633	0.417
0.605	0.422	0.705
0.605	0.422	0.705
0.786	0.773	0.668
0.786	0.773	0.668
0.701	0.221	0.663
0.701	0.221	0.663
0.502	0.48	0.682
0.502	0.48	0.682
0.606	0.44	0.521
0.606	0.44	0.521
0.777	0.416	0.574
0.777	0.416	0.574
0.711	0.285	0.269
0.711	0.285	0.269
0.52	0.527	0.462
0.52	0.527	0.462
0.531	0.152	0.636
0.531	0.152	0.636
0.597	0.648	0.616
0.597	0.648	0.616
0.757	0.486	0.309
0.757	0.486	0.309
0.705	0.58	0.57
0.705	0.58	0.57
0.748	0.606	0.606
0.748	0.606	0.606
0.705	0.379	0.57
0.705	0.379	0.57
0.473	0.567	0.32
0.473	0.567	0.32
0.538	0.313	0.4
0.538	0.313	0.4
0.676	0.535	0.642
0.676	0.535	0.642
0.359	0.665	0.631
0.359	0.665	0.631
0.611	0.4	0.651
0.611	0.4	0.651
0.47	0.755	0.288
0.47	0.755	0.288
0.824	0.598	0.487
0.824	0.598	0.487
0.709	0.236	0.549
0.709	0.236	0.549
0.631	0.479	0.554
0.631	0.479	0.554
0.562	0.561	0.527
0.562	0.561	0.527
0.569	0.476	0.405
0.569	0.476	0.405
0.669	0.474	0.409
0.669	0.474	0.409
0.597	0.816	0.506
0.597	0.816	0.506
0.627	0.539	0.615
0.627	0.539	0.615
0.802	0.647	0.549
0.802	0.647	0.549
0.673	0.296	0.473
0.673	0.296	0.473
0.603	0.462	0.576
0.603	0.462	0.576
0.505	0.624	0.807
0.505	0.624	0.807
0.574	0.651	0.31
0.574	0.651	0.31
0.67	0.549	0.588
0.67	0.549	0.588
0.706	0.588	0.433
0.706	0.588	0.433
0.544	0.583	0.298
0.544	0.583	0.298
0.641	0.305	0.589
0.641	0.305	0.589
0.601	0.409	0.342
0.601	0.409	0.342
0.571	0.588	0.254
0.571	0.588	0.254
0.685	0.549	0.534
0.685	0.549	0.534
0.466	0.493	0.692
0.466	0.493	0.692
0.753	0.575	0.491
0.753	0.575	0.491
0.695	0.57	0.497
0.695	0.57	0.497
0.717	0.823	0.58
0.717	0.823	0.58
0.534	0.553	0.777
0.534	0.553	0.777
0.505	0.648	0.21
0.505	0.648	0.21
0.737	0.424	0.554
0.737	0.424	0.554
0.346	0.6	0.63
0.346	0.6	0.63
0.612	0.503	0.481
0.612	0.503	0.481
0.872	0.637	0.501
0.872	0.637	0.501
0.463	0.599	0.605
0.463	0.599	0.605
0.743	0.602	0.389
0.743	0.602	0.389
0.777	0.705	0.379
0.777	0.705	0.379
0.824	0.245	0.459
0.824	0.245	0.459
0.405	0.602	0.387
0.405	0.602	0.387
0.34	0.701	0.505
0.34	0.701	0.505
0.783	0.571	0.601
0.783	0.571	0.601
0.797	0.571	0.197
0.797	0.571	0.197
0.919	0.235	0.514
0.919	0.235	0.514
0.664	0.419	0.501
0.664	0.419	0.501
0.609	0.686	0.687
0.609	0.686	0.687
0.439	0.39	0.389
0.439	0.39	0.389
0.826	0.445	0.556
0.826	0.445	0.556
0.395	0.602	0.409
0.395	0.602	0.409
0.804	0.534	0.344
0.804	0.534	0.344
0.62	0.678	0.404
0.62	0.678	0.404
0.582	0.638	0.495
0.582	0.638	0.495
0.525	0.571	0.308
0.525	0.571	0.308
0.441	0.536	0.733
0.441	0.536	0.733
0.867	0.709	0.364
0.867	0.709	0.364
0.405	0.729	0.614
0.405	0.729	0.614
0.712	0.458	0.489
0.712	0.458	0.489
0.731	0.358	0.713
0.731	0.358	0.713
0.623	0.401	0.577
0.623	0.401	0.577
0.601	0.76	0.278
0.601	0.76	0.278
0.668	0.431	0.646
0.668	0.431	0.646
0.729	0.563	0.413
0.729	0.563	0.413
0.432	0.513	0.546
0.432	0.513	0.546
0.589	0.438	0.732
0.589	0.438	0.732
0.495	0.51	0.332
0.495	0.51	0.332
0.524	0.654	0.654
0.524	0.654	0.654
0.606	0.618	0.655
0.606	0.618	0.655
0.672	0.674	0.468
0.672	0.674	0.468
0.436	0.731	0.272
0.436	0.731	0.272
0.803	0.523	0.568
0.803	0.523	0.568
0.753	0.469	0.45
0.753	0.469	0.45
0.498	0.678	0.418
0.498	0.678	0.418
0.485	0.504	0.516
0.485	0.504	0.516
0.538	0.35	0.459
0.538	0.35	0.459
0.878	0.42	0.58
0.878	0.42	0.58
0.515	0.616	0.466
0.515	0.616	0.466
0.854	0.513	0.538
0.854	0.513	0.538
0.687	0.657	0.394
0.687	0.657	0.394
0.545	0.6	0.604
0.545	0.6	0.604
0.726	0.567	0.446
0.726	0.567	0.446
0.52	0.772	0.389
0.52	0.772	0.389
0.391	0.744	0.502
0.391	0.744	0.502
0.674	0.395	0.376
0.674	0.395	0.376
0.593	0.403	0.481
0.593	0.403	0.481
0.701	0.578	0.463
0.701	0.578	0.463
0.394	0.242	0.44
0.394	0.242	0.44
0.583	0.402	0.693
0.583	0.402	0.693
0.531	0.48	0.423
0.531	0.48	0.423
