r2_lr1-e4	r4_lr1-e4	r8_lr1-e4
0.804	1.03	0.72
0.804	1.03	0.72
0.973	0.981	0.794
0.973	0.981	0.794
0.882	0.833	0.713
0.882	0.833	0.713
0.719	0.96	0.682
0.719	0.96	0.682
0.742	0.768	0.655
0.742	0.768	0.655
0.738	0.726	0.461
0.738	0.726	0.461
1	0.494	0.499
1	0.494	0.499
0.69	0.776	0.489
0.69	0.776	0.489
0.869	0.896	0.578
0.869	0.896	0.578
0.901	0.72	0.611
0.901	0.72	0.611
1.01	0.891	0.405
1.01	0.891	0.405
0.871	0.689	0.731
0.871	0.689	0.731
0.852	0.715	0.517
0.852	0.715	0.517
0.669	0.599	0.736
0.669	0.599	0.736
1.22	1.08	0.527
1.22	1.08	0.527
0.659	0.477	0.612
0.659	0.477	0.612
0.963	0.488	0.741
0.963	0.488	0.741
0.839	0.582	0.651
0.839	0.582	0.651
0.649	0.772	0.875
0.649	0.772	0.875
0.951	0.505	0.552
0.951	0.505	0.552
1.16	0.815	0.652
1.16	0.815	0.652
0.508	0.683	1.04
0.508	0.683	1.04
0.951	0.695	0.973
0.951	0.695	0.973
0.508	2.4	0.859
0.508	2.4	0.859
0.963	0.816	0.826
0.963	0.816	0.826
1.11	0.522	0.433
1.11	0.522	0.433
1.09	0.473	0.534
1.09	0.473	0.534
0.864	0.595	1.05
0.864	0.595	1.05
0.821	0.71	0.475
0.821	0.71	0.475
0.642	0.935	0.852
0.642	0.935	0.852
0.757	0.662	0.823
0.757	0.662	0.823
0.749	0.476	0.815
0.749	0.476	0.815
0.934	0.864	0.584
0.934	0.864	0.584
0.778	0.93	1.02
0.778	0.93	1.02
0.844	0.758	0.769
0.844	0.758	0.769
0.981	0.706	0.405
0.981	0.706	0.405
0.73	0.405	0.745
0.73	0.405	0.745
0.702	0.79	0.485
0.702	0.79	0.485
0.842	0.746	0.587
0.842	0.746	0.587
0.917	0.715	0.691
0.917	0.715	0.691
0.845	0.747	0.884
0.845	0.747	0.884
0.793	0.778	0.934
0.793	0.778	0.934
1.11	0.464	0.745
1.11	0.464	0.745
0.854	0.87	0.594
0.854	0.87	0.594
0.986	0.769	0.821
0.986	0.769	0.821
0.765	0.532	0.809
0.765	0.532	0.809
0.79	0.394	0.759
0.79	0.394	0.759
0.589	0.848	0.693
0.589	0.848	0.693
0.813	0.51	0.991
0.813	0.51	0.991
0.793	0.602	0.791
0.793	0.602	0.791
0.871	0.732	0.475
0.871	0.732	0.475
0.894	0.468	0.474
0.894	0.468	0.474
1.05	0.733	0.766
1.05	0.733	0.766
0.594	0.658	0.495
0.594	0.658	0.495
1.16	0.783	0.777
1.16	0.783	0.777
0.876	0.694	0.567
0.876	0.694	0.567
1.11	0.717	0.768
1.11	0.717	0.768
0.846	0.602	0.799
0.846	0.602	0.799
0.587	0.537	0.705
0.587	0.537	0.705
0.811	0.861	0.659
0.811	0.861	0.659
0.609	0.634	0.733
0.609	0.634	0.733
0.922	0.823	0.681
0.922	0.823	0.681
0.842	0.602	0.504
0.842	0.602	0.504
0.419	0.821	0.727
0.419	0.821	0.727
0.587	0.785	0.9
0.587	0.785	0.9
1.04	0.352	0.721
1.04	0.352	0.721
0.782	0.906	0.839
0.782	0.906	0.839
0.77	0.602	0.525
0.77	0.602	0.525
0.906	0.747	0.145
0.906	0.747	0.145
1.51	0.464	0.618
1.51	0.464	0.618
1	0.613	0.815
1	0.613	0.815
0.785	0.737	0.714
0.785	0.737	0.714
0.955	0.341	0.612
0.955	0.341	0.612
0.498	0.528	0.615
0.498	0.528	0.615
0.956	0.914	0.728
0.956	0.914	0.728
1.06	0.949	0.751
1.06	0.949	0.751
0.874	0.752	0.652
0.874	0.752	0.652
0.374	0.862	0.655
0.374	0.862	0.655
0.614	0.527	0.784
0.614	0.527	0.784
0.92	0.88	1.37
0.92	0.88	1.37
0.444	0.543	0.63
0.444	0.543	0.63
0.493	0.765	0.73
0.493	0.765	0.73
1.15	0.685	0.719
1.15	0.685	0.719
0.776	0.606	0.354
0.776	0.606	0.354
0.927	0.946	0.731
0.927	0.946	0.731
0.602	1.07	0.517
0.602	1.07	0.517
0.524	0.979	0.845
0.524	0.979	0.845
0.552	2.12	0.821
0.552	2.12	0.821
0.988	0.698	1.01
0.988	0.698	1.01
0.634	0.795	0.887
0.634	0.795	0.887
0.541	1.32	0.526
0.541	1.32	0.526
0.814	0.84	0.498
0.814	0.84	0.498
0.603	0.847	0.441
0.603	0.847	0.441
0.97	0.741	0.641
0.97	0.741	0.641
1.23	0.526	0.713
1.23	0.526	0.713
0.335	0.718	0.607
0.335	0.718	0.607
0.847	0.696	0.653
0.847	0.696	0.653
0.435	0.63	0.629
0.435	0.63	0.629
0.661	1.01	0.608
0.661	1.01	0.608
0.666	0.757	0.623
0.666	0.757	0.623
0.788	0.753	0.594
0.788	0.753	0.594
0.903	0.657	0.84
0.903	0.657	0.84
0.904	0.858	0.95
0.904	0.858	0.95
0.785	0.779	0.882
0.785	0.779	0.882
1.03	0.493	0.596
1.03	0.493	0.596
0.865	0.799	0.851
0.865	0.799	0.851
0.82	0.645	0.675
0.82	0.645	0.675
0.721	0.942	0.628
0.721	0.942	0.628
0.617	0.821	0.655
0.617	0.821	0.655
0.619	0.729	0.799
0.619	0.729	0.799
0.922	0.611	0.525
0.922	0.611	0.525
0.636	0.866	0.723
0.636	0.866	0.723
1.04	0.683	0.87
1.04	0.683	0.87
0.817	0.543	0.462
0.817	0.543	0.462
0.718	0.972	0.776
0.718	0.972	0.776
1.07	0.902	0.509
1.07	0.902	0.509
0.845	0.399	0.474
0.845	0.399	0.474
1.03	0.668	0.773
1.03	0.668	0.773
0.614	0.924	0.747
0.614	0.924	0.747
1.01	0.836	0.744
1.01	0.836	0.744
0.998	0.773	0.609
0.998	0.773	0.609
1.01	0.609	0.862
1.01	0.609	0.862
0.953	0.762	0.443
0.953	0.762	0.443
0.929	0.571	0.404
0.929	0.571	0.404
0.474	0.808	0.644
0.474	0.808	0.644
0.695	0.538	0.484
0.695	0.538	0.484
0.746	0.409	0.779
0.746	0.409	0.779
1.03	0.715	0.411
1.03	0.715	0.411
0.352	0.892	0.789
0.352	0.892	0.789
0.799	0.718	0.678
0.799	0.718	0.678
0.758	0.517	0.508
0.758	0.517	0.508
0.716	0.708	0.59
0.716	0.708	0.59
0.863	0.72	0.704
0.863	0.72	0.704
0.703	0.806	0.367
0.703	0.806	0.367
0.836	0.658	0.593
0.836	0.658	0.593
0.633	0.526	0.723
0.633	0.526	0.723
0.438	0.534	0.511
0.438	0.534	0.511
0.578	0.724	0.642
0.578	0.724	0.642
0.767	0.83	0.611
0.767	0.83	0.611
0.724	0.574	0.515
0.724	0.574	0.515
0.355	0.456	0.582
0.355	0.456	0.582
0.893	0.603	0.576
0.893	0.603	0.576
0.993	0.78	0.54
0.993	0.78	0.54
0.842	0.627	0.735
0.842	0.627	0.735
0.954	0.735	0.679
0.954	0.735	0.679
0.51	0.729	0.738
0.51	0.729	0.738
0.798	0.821	0.7
0.798	0.821	0.7
0.756	0.898	0.491
0.756	0.898	0.491
0.935	0.774	0.788
0.935	0.774	0.788
0.891	0.772	0.838
0.891	0.772	0.838
0.721	0.78	0.784
0.721	0.78	0.784
0.791	1.06	0.942
0.791	1.06	0.942
1.02	0.714	0.754
1.02	0.714	0.754
0.985	0.76	0.567
0.985	0.76	0.567
0.661	0.628	0.305
0.661	0.628	0.305
1.15	0.561	0.451
1.15	0.561	0.451
0.854	0.681	0.748
0.854	0.681	0.748
0.854	0.538	0.676
0.854	0.538	0.676
0.899	0.703	0.441
0.899	0.703	0.441
0.69	0.525	0.721
0.69	0.525	0.721
1	0.765	0.675
1	0.765	0.675
1.12	0.688	0.756
1.12	0.688	0.756
1.08	0.789	0.49
1.08	0.789	0.49
0.657	0.832	0.671
0.657	0.832	0.671
0.674	0.84	0.739
0.674	0.84	0.739
0.934	0.292	0.663
0.934	0.292	0.663
0.925	0.399	0.779
0.925	0.399	0.779
0.891	0.852	0.561
0.891	0.852	0.561
0.756	0.599	0.839
0.756	0.599	0.839
0.408	0.599	0.797
0.408	0.599	0.797
0.772	0.812	0.684
0.772	0.812	0.684
2.04	0.55	0.695
2.04	0.55	0.695
0.533	0.672	0.584
0.533	0.672	0.584
0.816	0.701	0.606
0.816	0.701	0.606
1.06	0.771	0.764
1.06	0.771	0.764
0.486	0.686	0.564
0.486	0.686	0.564
0.582	0.787	0.677
0.582	0.787	0.677
0.96	0.637	0.717
0.96	0.637	0.717
0.682	0.728	0.641
0.682	0.728	0.641
0.787	0.752	0.594
